artwork_id,title,artist,address,city,state,zip_code,latitude,longitude,materials,workType,themes,yearCreated,placement,collection
89da6333-5b16-41cc-8a13-a317d3c58e6a,Mirror Mirror,SOFTlab,"Waterfront Park, North",Alexandria,Virginia,22314,38.803960000000004,-77.039524,"Plexiglas (TM), aluminum (metal)",temporary,,2019,"parks (grounds), public spaces",City of Alexandria
0a3fd120-d899-4153-9ec9-abb895033f37,Two Boxes of Oranges and Admonia Jackson,Nina Cooke John,"Waterfront Park, North",Alexandria,Virginia,22314,38.803960000000004,-77.039524,"metal, lighting device components",temporary,,2023,"parks (grounds), public spaces",City of Alexandria
ed8a8fe9-addf-493d-9c59-b670ba7bc37a,Groundswell,Mark Reigelman,"Waterfront Park, North",Alexandria,Virginia,22314,38.803960000000004,-77.039524,wood (plant material),temporary,,2021,"parks (grounds), public spaces",City of Alexandria
59bb7d57-01e6-401a-9e47-479caf668f57,I Love You,R & R Studios,"Waterfront Park, North",Alexandria,Virginia,22314,38.803960000000004,-77.039524,neon,temporary,,2022,"parks (grounds), public spaces",City of Alexandria
687972aa-ccb3-4a3d-ac7a-4acc567f38e9,Torpedo Factory Art Center Staircase,Artists from the Torpedo Factory Art Center,105 N Union Street,Alexandria,Virginia,22314,38.804811,-77.039829,mixed media,sculpture (visual work),,1984,art centers,City of Alexandria
65f63a69-e93d-4d3b-b5dc-2bc088544d46,Coloring Outside the Lines,Rachel Kerwin,105 N Union Street,Alexandria,Virginia,22314,38.804811,-77.039829,acrylic paint,mural paintings (visual works),,2014,art centers,City of Alexandria
67dfc565-41d7-4307-85a1-eadbd0ef71eb,City Sweep,Bernard Collin,500 Madison St.,Alexandria,Virginia,22314,38.812827,-77.043611,stainless steel,installations (visual works),,2014,shopping centers,City of Alexandria
3ee3903b-b963-4f41-b02b-721992e521bb,Efflorescence,Silas Baker,201 N Union St,Alexandria,Virginia,22314,38.80591121580798,-77.03981856210049,,mural paintings (visual works),,2024,art centers,City of Alexandria
b2516d79-be4d-4eac-842c-1ec272f45e4b,Plinth,Tom Fruin,530 First Street,Alexandria,Virginia,22314,38.81401690472535,-77.04330039340289,"glass (material), Plexiglas (TM), steel (alloy)",sculpture (visual work),,No data,housing complexes,City of Alexandria
6249a042-6ef4-4e4c-9c82-042ee719e869,Arizona Needle,Tom Faulkner,601 N. Fairfax Street,Alexandria,Virginia,22314,38.811024290800916,-77.04098989897221,Cor-Ten steel (TM),"outdoor sculpture, sculpture (visual work)",,2024,housing complexes,City of Alexandria
