category,value,count
artists,Elizabeth Mapelli,14
artists,Garrick Imatani,14
artists,Pam Beyette,13
artists,Lawrence Shlim,13
artists,Marie-Josée Leroux/Lerou,13
artists,Melanie Walker,13
artists,Michael Amescua,13
artists,Morrie Camhi,13
artists,Oliverio Balcells,13
artists,Terri Warpinski,13
artists,Patricia Gould,13
artists,Patrick Marold,13
artists,Paul Marioni,13
artists,Stacy Levy,13
artists,Suikang Zhao,13
artists,Kirk Gittings,13
artists,Thomas Sayre,13
artists,Virginia Maria Romero,13
artists,Lars Stanley,13
artists,Marjorie McDonald,13
artists,Kent Miles,13
artists,Evelyn Rosenberg,13
artists,Kenny Davis,13
artists,Allan Bruce Zee,13
artists,Bill Kucha,13
artists,Carlo Ciampaglia,13
artists,Claes Oldenburg,13
artists,Donald Gensler,13
artists,Donna Billick,13
artists,Christopher Weed,13
artists,George Lundeen,13
artists,Ioana Urma,13
artists,Jesús Moroles,13
artists,Joan Baron,13
artists,John Parker,13
artists,John Raimondi,13
artists,John Spence,13
artists,Michael Brophy,12
artists,John Randall Nelson,12
artists,Keith Carter,12
artists,Larry Kanfer,12
artists,Laura Ross-Paul,12
artists,Marilyn Pitney,12
artists,Mark Abildgaard,12
artists,Mary Coss,12
artists,Meg Saligman,12
artists,Valerie Otani,12
artists,Mikyoung Kim,12
artists,Patricia Navarrete,12
artists,Patty Arnold,12
artists,Prince George's County Public Schools,12
artists,Ralph Steiner,12
artists,Rebecca Ekstrand,12
artists,Robert Tully,12
artists,Samantha Smith,12
artists,Jim Gallucci,12
artists,Joan Weissman,12
artists,Eino Romppanen,12
artists,Jennifer Geiger,12
artists,Carolyn Law,12
artists,Alice Adams,12
artists,Alice Aycock,12
artists,Allen Dodge,12
artists,Anna Valentina Murch,12
artists,Barbara Black,12
artists,Beverly Pepper,12
artists,Brad Howe,12
artists,Carol Poppenga,12
artists,Gloria Baker Feinstein,12
artists,Christian Petersen,12
artists,David Nez,12
artists,Day Christensen,12
artists,Douglas Hollis,12
artists,Eileen Gay,12
artists,Alex Hirsch,12
artists,Geoffrey Pagen,12
artists,David Lee Csicsko,12
artists,Maria Alquilar,11
artists,Michael Semsch,11
artists,Michael Riley,11
artists,Jonny Buss,11
artists,Louis Ocepek,11
artists,Karen Kuehn,11
artists,Kana Tanaka,11
artists,Nina Solomon,11
artists,Michael Singer,11
artists,Po Shu Wang,11
artists,Pam Patrie,11
artists,Pete Beeman,11
artists,Philadelphia Anti-Graffiti Network (PAGN),11
artists,Reven Marie Swanson,11
artists,Sabina Haque,11
artists,Sean K.L. Browne,11
artists,Shan Shan Sheng,11
artists,Tom Van Sant,11
artists,John Christensen,11
artists,John Laursen,11
artists,Mark Calderon,11
artists,Janet Lofquist,11
artists,David Wilson,11
artists,James Carpenter,11
artists,Alexander Tylevich,11
artists,Ann Gardner,11
artists,Barry Pelzner,11
artists,Brower Hatcher,11
artists,Catherine Woods,11
artists,Claire Burbridge,11
artists,Darl Thomas,11
artists,David Hickman,11
artists,Bill Wheeler,11
artists,David de Rousseau,11
artists,Efrain Herrera,11
artists,Gary Day,11
artists,Gordon W. Gilkey,11
artists,Hampton Rodriguez,11
artists,Harry Marinsky,11
artists,Henry Bermudez,11
artists,Debra Beers,11
artists,Jack Tupper,11
artists,Michael Sanchez,10
artists,Peter Shire,10
artists,Pete Goldlust,10
artists,Owen Morrel,10
artists,Oscar Strobel,10
artists,Oscar Lozoya,10
artists,Numan Begovic,10
artists,Mat Tomezsko,10
artists,Michael Davis,10
artists,Michael Clapper,10
artists,Michael Childers,10
artists,Mary Taylor,10
artists,Mary Shindell,10
artists,Reg Loving,10
artists,Maria Artemis,10
artists,Pop Chalee,10
artists,Tony Ortega,10
artists,Richard Heipp,10
artists,Terry Thompson,10
artists,Lyle London,10
artists,"coLAB studio, llc",10
artists,Wimberley Glassworks,10
artists,Willard Van Dyke,10
artists,Washington Glass Studio,10
artists,Valerie Wilson,10
artists,Tarah Rider-Berry,10
artists,Robert Calvo,10
artists,Susan Seubert,10
artists,Stuart Schechter,10
artists,Stuart S. Nakamura,10
artists,Sheila Klein,10
artists,Ruth Resnick (Johnson),10
artists,Roger Berry,10
artists,Lynn Basa,10
artists,Jim Hirschfield,10
artists,Lonnie Feather,10
artists,Douglas Kornfeld,10
artists,Dimitar Lukanov,10
artists,Deborah Murphy,10
artists,Dayton Claudio,10
artists,Daniel Coburn,10
artists,Dale Eldred,10
artists,Cie Goulet,10
artists,Christo,10
artists,Baba Wague Diakite,10
artists,Arvie Smith,10
artists,Arthur Stern,10
artists,Ann Northrup,10
artists,Amy Westover,10
artists,Alloyius Mcilwaine,10
artists,Linda Covit,10
artists,Alice Van Leunen,10
artists,Donald DeLue,10
artists,Barbara Baer,10
artists,Dyann Alkire,10
artists,Jeanne-Claude,10
artists,Kyle Holbrook,10
artists,Emilie Ledieu,10
artists,Koryn Rolstad Studios,10
artists,Keir Johnston,10
artists,Larry S. Ferguson,10
artists,Joe Brenman,10
artists,John Wisnosky,10
artists,Jason Silva,10
artists,Jane Evelyn Atwood,10
artists,Ilana Spector,10
artists,Gilles Peress,10
artists,Gay Waldman,10
artists,Eugene Richards,10
artists,Priscilla Bell Lamberty,9
artists,Preston Singletary,9
artists,Peter Richards,9
artists,Paula Castillo,9
artists,Paul Gentry,9
artists,Patrick Nagatani,9
artists,Patricia Vázquez Gómez,9
artists,Nora Naranjo-Morse,9
artists,Natasha Bacca,9
artists,Manuel Izquierdo,9
artists,Michael Stutz,9
artists,Mark Abrahamson,9
artists,Mario Miguel Echevarria,9
artists,Marie Watt,9
artists,Marian Bailey,9
artists,Luis Jiménez,9
artists,Linda Beaumont,9
artists,Lee Lanier,9
artists,Lauren Cat West,9
artists,Richard Bergen,9
artists,Rebecca Davis,9
artists,Thomas Elmo Williams,9
artists,Richard Johnston,9
artists,Roberto Behar,9
artists,Kyle Zimmerman,9
artists,Youth ArtWorks,9
artists,William R. Littig,9
artists,Ursula Rucker,9
artists,Tooza Design,9
artists,Todd Whipple,9
artists,Terry Pappas,9
artists,Terry Lee,9
artists,Susan Narduli,9
artists,Stephen Hayes,9
artists,Stan Dolega,9
artists,Sonya Ishii,9
artists,Shepard Fairey,9
artists,Shelley Horton-Trippe,9
artists,Sasha Pyle,9
artists,Russell Craig,9
artists,Rude Calderón,9
artists,Rose Nobuco Niguma,9
artists,Rosario Marquardt,9
artists,Laura Haddad,9
artists,Bobby Zokaites,9
artists,Ken McCall,9
artists,Donald Walker,9
artists,Denny Haskew,9
artists,Darren Goins,9
artists,Dana Foy,9
artists,Cork Marcheschi,9
artists,Clint Brown,9
artists,Chuzo Tamozu,9
artists,Casey Downing,9
artists,Carolyn Cole,9
artists,Carl T. Chew,9
artists,Bill Will,9
artists,Barbara Gilson,9
artists,Banks Compton,9
artists,Anne Marie Karlsen,9
artists,Andréa Grasso,9
artists,Andrew Larkin,9
artists,Amy I. Cheng,9
artists,Aloe Tile Works,9
artists,Allen Bishop,9
artists,Kacey Joyce,9
artists,Don Kennell,9
artists,"Artist Unknown, Oaxaca",9
artists,Elizabeth Conner,9
artists,Jacqueline Heigle Kerns,9
artists,Julie Keefe,9
artists,Ellamonique Baccus,9
artists,Joe Feddersen,9
artists,Jody Pinto,9
artists,Jerry Cutler,9
artists,Jason Slowik,9
artists,Jason Greene,9
artists,James Dietch,9
artists,Jim Adams,9
artists,Jack McLarty,9
artists,Horatio Hung-Yan Law,9
artists,Hector Hernandez,9
artists,Harry McDaniel,9
artists,Gwynn Murrill,9
artists,G.N. Barnard,9
artists,Emanuel Martinez,9
artists,Jack Mackie,9
artists,Frederick Heidel,9
artists,Paul Heath,8
artists,Nancy Sutor,8
artists,Nita Winter,8
artists,Osman Akan,8
artists,Pam Parker,8
artists,Paul Collins,8
artists,Pedro Ortiz,8
artists,Paul Hobson,8
artists,Pearlyn Tan,8
artists,Peter Erskine,8
artists,Peyton Vaughn Harshfield,8
artists,NDA,8
artists,Public Art Associates,8
artists,Nancy Chew,8
artists,Mardi Gras World,8
artists,Milton Rogovin,8
artists,Michele Russo,8
artists,Michael Pavlovsky,8
artists,Michael Kirby,8
artists,Masayuki Nagase,8
artists,Mary Catania Murphy,8
artists,Marita Dingus,8
artists,Marilyn Higginson,8
artists,Madeline Wiener,8
artists,Latoya Lovely,8
artists,Laddie John Dill,8
artists,Kevin Box,8
artists,Ken Butler,8
artists,Rachel Slick,8
artists,R & R Studios,8
artists,The Steelyard Artists' Cooperative,8
artists,Rafe Ropek,8
artists,Susan Zoccola,8
artists,Karl Yoder,8
artists,Various Bloomington Artists,8
artists,Troy Corliss,8
artists,Tom Drugan,8
artists,Tom Askman,8
artists,Tim Watkins,8
artists,Tim Upham,8
artists,Thomas R. Miller,8
artists,Theresa Rae Otten,8
artists,Terry Corbett,8
artists,Terry Allen,8
artists,Tallmadge Doyle,8
artists,Symone Salib,8
artists,Stu Levy,8
artists,Ras Malik,8
artists,Steven Gardner,8
artists,"Steve Powers, aka ESPO",8
artists,Sidonie Caron,8
artists,Seymour Lipton,8
artists,Sebastiao Salgado,8
artists,Ruth Burotte,8
artists,Robert Stout,8
artists,Robert Flint,8
artists,Ries Niemi,8
artists,Richard Rezac,8
artists,Reynaldo Rivera,8
artists,Renee Brainard Gentz,8
artists,Rene Rickabaugh,8
artists,Keith Haring,8
artists,Louis Bunce,8
artists,Kala Hagopian @HagopianArts,8
artists,Deborah Mersky,8
artists,Deanna Lee,8
artists,David Adams,8
